size, index, Find Statements, Replace Statments, Sort Statements
1, -1, 6, x, x
1, x, x, 8,x
1, x, x, x, 2
2, 1, 7, x, x
2, x, x, 21,x
2, x, x, x, 6
3, 2, 10, x, x
3, x, x, 27,x
3, x, x, x, 13
4, 1, 7, x, x
4, x, x, 27,x
4, x, x, x, 17
5, 0, 4, x, x
5, x, x, 27,x
5, x, x, x, 33
6, 0, 4, x, x
6, x, x, 30,x
6, x, x, x, 40
7, 3, 13, x, x
7, x, x, 42,x
7, x, x, x, 77
8, 6, 22, x, x
8, x, x, 54,x
8, x, x, x, 72
9, 8, 28, x, x
9, x, x, 63,x
9, x, x, x, 94
10, 1, 7, x, x
10, x, x, 45,x
10, x, x, x, 107
11, 3, 13, x, x
11, x, x, 54,x
11, x, x, x, 129
12, 11, 37, x, x
12, x, x, 81,x
12, x, x, x, 145
13, 7, 25, x, x
13, x, x, 72,x
13, x, x, x, 179
14, 3, 13, x, x
14, x, x, 63,x
14, x, x, x, 222
15, 3, 13, x, x
15, x, x, 66,x
15, x, x, x, 202
16, 0, 4, x, x
16, x, x, 60,x
16, x, x, x, 245
17, 12, 40, x, x
17, x, x, 99,x
17, x, x, x, 255
18, 12, 40, x, x
18, x, x, 102,x
18, x, x, x, 325
19, 7, 25, x, x
19, x, x, 90,x
19, x, x, x, 239
20, 8, 28, x, x
20, x, x, 96,x
20, x, x, x, 366
21, 11, 37, x, x
21, x, x, 108,x
21, x, x, x, 418
22, 19, 61, x, x
22, x, x, 135,x
22, x, x, x, 527
23, 6, 22, x, x
23, x, x, 99,x
23, x, x, x, 510
24, 14, 46, x, x
24, x, x, 126,x
24, x, x, x, 586
25, 0, 4, x, x
25, x, x, 87,x
25, x, x, x, 473
26, 13, 43, x, x
26, x, x, 129,x
26, x, x, x, 621
27, 14, 46, x, x
27, x, x, 135,x
27, x, x, x, 658
28, 6, 22, x, x
28, x, x, 114,x
28, x, x, x, 680
29, 19, 61, x, x
29, x, x, 156,x
29, x, x, x, 651
30, 11, 37, x, x
30, x, x, 135,x
30, x, x, x, 832
31, 14, 46, x, x
31, x, x, 147,x
31, x, x, x, 809
32, 10, 34, x, x
32, x, x, 138,x
32, x, x, x, 846
33, 6, 22, x, x
33, x, x, 129,x
33, x, x, x, 742
34, 4, 16, x, x
34, x, x, 126,x
34, x, x, x, 944
35, 16, 52, x, x
35, x, x, 165,x
35, x, x, x, 1017
36, 13, 43, x, x
36, x, x, 159,x
36, x, x, x, 1114
37, 24, 76, x, x
37, x, x, 195,x
37, x, x, x, 1118
38, 22, 70, x, x
38, x, x, 192,x
38, x, x, x, 1188
39, 3, 13, x, x
39, x, x, 138,x
39, x, x, x, 1018
40, 32, 100, x, x
40, x, x, 228,x
40, x, x, x, 1442
41, 11, 37, x, x
41, x, x, 168,x
41, x, x, x, 1434
42, 39, 121, x, x
42, x, x, 255,x
42, x, x, x, 1675
43, 41, 127, x, x
43, x, x, 264,x
43, x, x, x, 1460
44, 15, 49, x, x
44, x, x, 189,x
44, x, x, x, 1536
45, 11, 37, x, x
45, x, x, 180,x
45, x, x, x, 1438
46, 8, 28, x, x
46, x, x, 174,x
46, x, x, x, 1607
47, 43, 133, x, x
47, x, x, 282,x
47, x, x, x, 2010
48, 47, 145, x, x
48, x, x, 297,x
48, x, x, x, 2236
49, 48, 148, x, x
49, x, x, 303,x
49, x, x, x, 1784
50, 43, 133, x, x
50, x, x, 291,x
50, x, x, x, 2184
51, 20, 64, x, x
51, x, x, 225,x
51, x, x, x, 2185
52, 34, 106, x, x
52, x, x, 270,x
52, x, x, x, 2186
53, 10, 34, x, x
53, x, x, 201,x
53, x, x, x, 2433
54, 28, 88, x, x
54, x, x, 258,x
54, x, x, x, 1993
55, 2, 10, x, x
55, x, x, 183,x
55, x, x, x, 2600
56, 18, 58, x, x
56, x, x, 234,x
56, x, x, x, 2310
57, 14, 46, x, x
57, x, x, 225,x
57, x, x, x, 2512
58, 24, 76, x, x
58, x, x, 258,x
58, x, x, x, 2627
59, 46, 142, x, x
59, x, x, 327,x
59, x, x, x, 3153
60, 28, 88, x, x
60, x, x, 276,x
60, x, x, x, 2971
61, 50, 154, x, x
61, x, x, 345,x
61, x, x, x, 2717
62, 8, 28, x, x
62, x, x, 222,x
62, x, x, x, 2802
63, 3, 13, x, x
63, x, x, 210,x
63, x, x, x, 3421
64, 46, 142, x, x
64, x, x, 342,x
64, x, x, x, 3317
65, 61, 187, x, x
65, x, x, 390,x
65, x, x, x, 3696
66, 48, 148, x, x
66, x, x, 354,x
66, x, x, x, 3394
67, 29, 91, x, x
67, x, x, 300,x
67, x, x, x, 3323
68, 3, 13, x, x
68, x, x, 225,x
68, x, x, x, 3348
69, 35, 109, x, x
69, x, x, 324,x
69, x, x, x, 3589
70, 0, 4, x, x
70, x, x, 222,x
70, x, x, x, 3458
71, 57, 175, x, x
