size, dupes, statements
1, 1, 17
2, 1, 21
2, 2, 33
3, 1, 29
3, 2, 53
3, 3, 53
4, 1, 33
4, 2, 45
4, 3, 77
4, 4, 77
5, 1, 33
5, 2, 85
5, 3, 97
5, 4, 105
5, 5, 105
6, 1, 41
6, 2, 65
6, 3, 97
6, 4, 109
6, 5, 137
6, 6, 137
7, 1, 65
7, 2, 93
7, 3, 97
7, 4, 129
7, 5, 141
7, 6, 173
7, 7, 173
8, 1, 49
8, 2, 97
8, 3, 121
8, 4, 121
8, 5, 161
8, 6, 177
8, 7, 213
8, 8, 213
9, 1, 77
9, 2, 121
9, 3, 105
9, 4, 137
9, 5, 185
9, 6, 201
9, 7, 241
9, 8, 257
9, 9, 257
10, 1, 81
10, 2, 113
10, 3, 165
10, 4, 189
10, 5, 181
10, 6, 261
10, 7, 237
10, 8, 277
10, 9, 305
10, 10, 305
11, 1, 85
11, 2, 121
11, 3, 185
11, 4, 197
11, 5, 213
11, 6, 225
11, 7, 313
11, 8, 305
11, 9, 325
11, 10, 357
11, 11, 357
12, 1, 81
12, 2, 85
12, 3, 161
12, 4, 157
12, 5, 205
12, 6, 253
12, 7, 317
12, 8, 297
12, 9, 349
12, 10, 397
12, 11, 413
12, 12, 413
13, 1, 109
13, 2, 161
13, 3, 209
13, 4, 213
13, 5, 237
13, 6, 297
13, 7, 329
13, 8, 309
13, 9, 393
13, 10, 389
13, 11, 429
13, 12, 473
13, 13, 473
14, 1, 93
14, 2, 161
14, 3, 201
14, 4, 269
14, 5, 273
14, 6, 305
14, 7, 293
14, 8, 377
14, 9, 369
14, 10, 449
14, 11, 489
14, 12, 485
14, 13, 537
14, 14, 537
15, 1, 97
15, 2, 169
15, 3, 197
15, 4, 277
15, 5, 241
15, 6, 357
15, 7, 337
15, 8, 401
15, 9, 397
15, 10, 473
15, 11, 521
15, 12, 529
15, 13, 597
15, 14, 605
15, 15, 605
16, 1, 97
16, 2, 133
16, 3, 177
16, 4, 285
16, 5, 313
16, 6, 301
16, 7, 381
16, 8, 361
16, 9, 473
16, 10, 521
16, 11, 553
16, 12, 505
16, 13, 609
16, 14, 645
16, 15, 677
16, 16, 677
17, 1, 137
17, 2, 189
17, 3, 253
17, 4, 257
17, 5, 325
17, 6, 317
17, 7, 313
17, 8, 453
17, 9, 521
17, 10, 533
17, 11, 561
17, 12, 605
17, 13, 673
17, 14, 721
17, 15, 721
17, 16, 753
17, 17, 753
18, 1, 85
18, 2, 149
18, 3, 193
18, 4, 285
18, 5, 321
18, 6, 317
18, 7, 437
18, 8, 409
18, 9, 437
18, 10, 629
18, 11, 573
18, 12, 633
18, 13, 629
18, 14, 773
18, 15, 693
18, 16, 793
18, 17, 833
18, 18, 833
19, 1, 97
19, 2, 161
19, 3, 245
19, 4, 257
19, 5, 269
