size, statements
1, 7
2, 20
3, 29
4, 57
5, 67
6, 107
7, 127
8, 179
9, 203
10, 258
11, 280
12, 353
13, 388
14, 476
15, 503
16, 606
17, 646
18, 752
19, 802
20, 923
21, 962
22, 1101
23, 1144
24, 1292
25, 1339
26, 1502
27, 1559
28, 1734
29, 1792
30, 1982
31, 2041
32, 2228
33, 2297
34, 2505
35, 2581
36, 2795
37, 2869
38, 3101
39, 3188
40, 3423
41, 3511
42, 3770
43, 3859
44, 4124
45, 4223
46, 4503
47, 4597
48, 4901
49, 4987
50, 5273
51, 5417
52, 5694
53, 5800
54, 6155
55, 6253
56, 6596
57, 6722
58, 7068
59, 7174
60, 7544
61, 7660
62, 8042
63, 8174
64, 8562
65, 8704
66, 9086
67, 9235
68, 9635
69, 9782
70, 10215
71, 10354
72, 10775
73, 10915
74, 11384
75, 11531
76, 11994
77, 12136
78, 12605
79, 12769
80, 13253
81, 13415
82, 13929
83, 14080
84, 14585
85, 14767
86, 15278
87, 15452
88, 15978
89, 16189
90, 16730
91, 16915
92, 17459
93, 17657
94, 18231
95, 18421
96, 18965
97, 19183
98, 19778
99, 19976
100, 20583
