size, statements
0, 2
1, 2
2, 9
3, 19
4, 32
5, 48
6, 67
7, 89
8, 114
9, 142
10, 173
11, 207
12, 244
13, 284
14, 327
15, 373
16, 422
17, 474
18, 529
19, 587
20, 648
21, 712
22, 779
23, 849
24, 922
25, 998
26, 1077
27, 1159
28, 1244
29, 1332
30, 1423
31, 1517
32, 1614
33, 1714
34, 1817
35, 1923
36, 2032
37, 2144
38, 2259
39, 2377
40, 2498
41, 2622
42, 2749
43, 2879
44, 3012
45, 3148
46, 3287
47, 3429
48, 3574
49, 3722
50, 3873
51, 4027
52, 4184
53, 4344
54, 4507
55, 4673
56, 4842
57, 5014
58, 5189
59, 5367
60, 5548
61, 5732
62, 5919
63, 6109
64, 6302
65, 6498
66, 6697
67, 6899
68, 7104
69, 7312
70, 7523
71, 7737
72, 7954
73, 8174
74, 8397
75, 8623
76, 8852
77, 9084
78, 9319
79, 9557
80, 9798
81, 10042
82, 10289
83, 10539
84, 10792
85, 11048
86, 11307
87, 11569
88, 11834
89, 12102
90, 12373
91, 12647
92, 12924
93, 13204
94, 13487
95, 13773
96, 14062
97, 14354
98, 14649
99, 14947
100, 15248
